Betano-'Konyaspor-Antalyaspor' ['2.85', '3.10', '2.65'] ### Smarkets-'Konyaspor - Antalyaspor' ['2.74', '3.65', '3.05']
Betano-'Kayserispor-Istanbulspor AS' ['1.62', '4.15', '5.30'] ### Smarkets-'Kayserispor - Istanbulspor' ['1.61', '5', '5.3']
Betano-'Sheffield Wednesday-Coventry City' ['3.10', '3.40', '2.32'] ### Smarkets-'Sheffield Wednesday - Coventry City' ['2.98', '3.9', '2.74']
Betano-'FC Augsburg-FC Bayern Mnichov' ['7.90', '5.70', '1.34'] ### Smarkets-'FC Augsburg - FC Bayern München' ['9.4', '7.6', '1.33']
Betano-'SL Benfica-Boavista FC' ['1.14', '7.70', '23.00'] ### Smarkets-'Benfica - Boavista FC' ['1.16', '11.5', '22']
Betano-'FC Augsburg-FC Bayern Mnichov' ['7.90', '5.70', '1.34'] ### Smarkets-'FC Augsburg - FC Bayern München' ['10.5', '7.6', '1.33']
Betano-'AFC Ajax-RKC Waalwijk' ['1.28', '6.00', '9.75'] ### Smarkets-'Ajax - RKC Waalwijk' ['1.27', '7.6', '11.5']
Betano-'FC Porto-Moreirense FC' ['1.30', '5.20', '11.50'] ### Smarkets-'FC Porto - Moreirense' ['1.29', '7', '14']
Betano-'Sheffield Wednesday-Coventry City' ['3.25', '3.45', '2.20'] ### Smarkets-'Sheffield Wednesday - Coventry City' ['3.1', '4', '2.6']
Betano-'Sheffield Wednesday-Coventry City' ['3.30', '3.40', '2.20'] ### Smarkets-'Sheffield Wednesday - Coventry City' ['3.1', '4', '2.6']
Betano-'FC Porto-Moreirense FC' ['1.34', '4.90', '9.75'] ### Smarkets-'FC Porto - Moreirense' ['1.32', '7', '13']
Betano-'FC Porto-Moreirense FC' ['1.34', '4.90', '9.75'] ### Smarkets-'FC Porto - Moreirense' ['1.32', '7.2', '12.5']
Betano-'CD Leganes-Burgos CF' ['2.02', '3.40', '3.85'] ### Smarkets-'Leganés - Burgos CF' ['2.1', '3.25', '5.5']
Betano-'Fenerbahce SK-Samsunspor-LIVE' ['2.82', '1.53', '19.00'] ### Smarkets-'Fenerbahçe - Samsunspor' ['3.95', '1.42', '160']
Betano-'Samsunspor-Kayserispor' ['2.22', '3.80', '2.95'] ### Smarkets-'Samsunspor - Kayserispor' ['2.2', 'ASK', 'ASK']
Betano-'SC Uniao Torreense-CD Santa Clara-LIVE' ['3.15', '2.32', '3.10'] ### Smarkets-'SC União Torreense - Santa Clara' ['4.5', '2.3', '3.3']
Betano-'Trabzonspor-Galatasaray SK-LIVE' ['3.95', '3.90', '1.82'] ### Smarkets-'Trabzonspor - Galatasaray' ['13', '5.4', '1.41']
Betano-'AFC Wimbledon-Mansfield Town' ['2.57', '3.15', '2.70'] ### Smarkets-'AFC Wimbledon - Mansfield Town' ['3.2', '4.1', '2.68']
